Asset,Date Purchased,Date Sold,Units,Sale Price,Basis,Gain / Loss,IRS ID Buy,IRS ID Sell
BTC,11/29/2017 17:12:09,12/01/2017 13:17:08,0.1,1038.29,1064.57,-26.279999999999973,Gemi 1,Gemi 2
BTC,12/06/2017 17:26:27,12/06/2017 17:57:03,1.0,12610.5,12685.0,-74.5,Gemi 3,Gemi 4
BTC,12/06/2017 17:26:27,12/06/2017 17:57:03,10.0,126105.05,126850.0,-744.9499999999971,Gemi 3,Gemi 5
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,11.65942809,164602.3,166270.49798534752,-1668.197985347535,Gemi 6,Gemi 7
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.01528279,215.86,217.9418307905607,-2.081830790560673,Gemi 6,Gemi 8
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.03141322,443.89,447.9715207646416,-4.081520764641596,Gemi 6,Gemi 9
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.3,4239.47,4278.181486310301,-38.71148631030064,Gemi 6,Gemi 10
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.00703907,99.5,100.38139651614084,-0.881396516140839,Gemi 6,Gemi 11
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.12085478,1709.14,1723.4622744270148,-14.32227442701469,Gemi 6,Gemi 12
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.09994796,1413.47,1425.318373554942,-11.848373554941872,Gemi 6,Gemi 13
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.07052181,997.5,1005.6836730769758,-8.183673076975765,Gemi 6,Gemi 14
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.01,141.47,142.6060495436767,-1.1360495436767053,Gemi 6,Gemi 15
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.03522558,498.75,502.3380806684747,-3.5880806684746744,Gemi 6,Gemi 16
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,1.2551,17770.69,17898.485278226864,-127.79527822686578,Gemi 6,Gemi 17
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.17554339,2489.07,2503.354937140496,-14.284937140495913,Gemi 6,Gemi 18
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.05424331,769.16,773.5424153273016,-4.382415327301601,Gemi 6,Gemi 19
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,0.0414,587.04,590.3890451108216,-3.349045110821635,Gemi 6,Gemi 20
BTC,12/07/2017 06:41:58,12/07/2017 06:43:22,1.4639999999999993,20766.01999999999,20877.525653194265,-111.50565319427551,Gemi 6,Gemi 21
BTC,01/04/2018 19:52:37,01/11/2018 03:00:55,0.37002739,5065.6749691,5444.93,-379.25503089999984,Gemi 22,Gemi 37
BTC,01/04/2018 22:04:24,01/11/2018 03:00:55,0.61316459,8394.2232371,9189.83,-795.6067629000008,Gemi 23,Gemi 37
BTC,01/05/2018 00:30:03,01/11/2018 03:00:55,0.2967125,4061.994125,4476.95,-414.95587499999965,Gemi 24,Gemi 37
BTC,01/09/2018 06:37:59,01/11/2018 03:00:55,0.48200202,6598.6076538,7207.85,-609.2423462000006,Gemi 25,Gemi 37
BTC,01/09/2018 06:37:59,01/11/2018 03:00:55,0.28247014,3867.0162165999996,4224.05,-357.03378340000063,Gemi 26,Gemi 37
BTC,01/09/2018 06:37:59,01/11/2018 03:00:55,4.95562336,67842.4837984,74106.30262415006,-6263.818825750059,Gemi 27,Gemi 37
BTC,01/09/2018 06:37:59,01/11/2018 19:24:44,0.43913,6018.6,6566.7421245150945,-548.1421245150941,Gemi 27,Gemi 38
BTC,01/09/2018 06:37:59,01/11/2018 19:24:44,0.73645,10096.61,11012.86005875058,-916.2500587505801,Gemi 27,Gemi 39
BTC,01/09/2018 06:37:59,01/11/2018 19:24:44,0.08116,1113.12,1213.6651807565984,-100.54518075659848,Gemi 27,Gemi 40
BTC,01/09/2018 06:37:59,01/11/2018 19:24:44,0.24326,3336.34,3637.7056662253594,-301.3656662253593,Gemi 27,Gemi 41
BTC,01/09/2018 06:37:59,01/11/2018 20:13:53,2.6234366400000004,34859.642022557084,39230.82434560231,-4371.182323045228,Gemi 27,Gemi 43
BTC,01/11/2018 02:53:03,01/11/2018 20:13:53,1.99991375,26574.40867372719,28950.95,-2376.5413262728107,Gemi 28,Gemi 43
BTC,01/11/2018 02:53:05,01/11/2018 20:13:53,8.625e-05,1.1460707983576641,1.25,-0.10392920164233588,Gemi 29,Gemi 43
BTC,01/11/2018 02:53:45,01/11/2018 20:13:53,0.8565633600000001,11381.823232917373,12375.65684543678,-993.8336125194073,Gemi 30,Gemi 43
BTC,01/11/2018 02:53:45,01/11/2018 20:13:53,0.03198449999999986,425.1795538499981,462.1131545632197,-36.93360071322161,Gemi 30,Gemi 44
BTC,01/11/2018 02:53:57,01/11/2018 20:13:53,0.46801550000000014,6221.470446150001,6761.901756226384,-540.4313100763829,Gemi 31,Gemi 44
BTC,01/11/2018 02:53:57,01/12/2018 03:24:28,0.6433844999999998,8727.510742499997,9295.638243773617,-568.1275012736205,Gemi 31,Gemi 146
BTC,01/11/2018 02:53:57,01/12/2018 03:24:28,5.214e-05,0.7072790999999999,0.75,-0.04272090000000006,Gemi 32,Gemi 146
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,1.1500367,15600.247835500002,16603.08,-1002.8321644999996,Gemi 33,Gemi 146
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,0.0001,1.3565,1.44,-0.08349999999999991,Gemi 34,Gemi 146
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,0.8498,11527.537,12268.56,-741.0229999999992,Gemi 35,Gemi 146
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,6.33e-05,0.8586644999999999,0.91,-0.05133550000000009,Gemi 36,Gemi 146
BTC,01/11/2018 19:46:31,01/12/2018 03:24:28,1.575,21364.875000000004,21301.88,62.99500000000262,Gemi 42,Gemi 146
BTC,01/11/2018 20:32:55,01/12/2018 03:24:28,6.279,85174.63500000002,83904.71,1269.9250000000175,Gemi 45,Gemi 146
BTC,01/12/2018 02:43:37,01/12/2018 03:24:28,0.45069999,6113.745364350001,6099.66,14.085364350001328,Gemi 46,Gemi 146
BTC,01/12/2018 02:43:57,01/12/2018 03:24:28,0.09023191,1223.9958591500001,1221.18,2.815859150000051,Gemi 47,Gemi 146
BTC,01/12/2018 02:43:57,01/12/2018 03:24:28,0.2,2713.0,2706.75,6.25,Gemi 48,Gemi 146
BTC,01/12/2018 02:44:01,01/12/2018 03:24:28,0.3,4069.500000000001,4060.13,9.3700000000008,Gemi 49,Gemi 146
BTC,01/12/2018 02:44:01,01/12/2018 03:24:28,1.9326,26215.719000000005,26155.33,60.38900000000285,Gemi 50,Gemi 146
BTC,01/12/2018 02:44:06,01/12/2018 03:24:28,1.63982095,22244.17118675,22192.93,51.24118675000136,Gemi 51,Gemi 146
